,Qual Order,,Basic Qual Order,,AD Qual Order,,SOLL II Qual Order,,,,,
Lowest,FPNC,,FPNC,,FPCC5,,FPCCR,,,,,
,FPCC,,FPCC,,FPCCR,,FPQCR,,,,,
,FPCC5,,FPKC,,FPQC5,,FPLCR,,,,,
,FPCCR,,FPQC,,FPQCR,,MP CR,,,,,
,FPKC,,FPLC,,FPLC5,,MP CZ,,,,,
,FPQC,,MP C,,FPLCR,,IP BZ,,,,,
,FPQC5,,MP B,,MP C5,,MP CJ,,,,,
,FPQCR,,IP B,,MP CR,,IP BJ,,,,,
,FPLC5,,IP A,,MP C3,,IP BX,,,,,
,FPLCR,,EP A,,MP CZ,,IP AX,,,,,
,MP C,,,,MP CJ,,IP AL,,,,,
,MP C5,,,,MP B3,,EP AL,,,,,
,MP C3,,,,IP B5,,,,,,,
,MP CR,,,,IP B3,,,,,,,
,MP CZ,,,,IP B2,,,,,,,
,MP CJ,,,,IP BZ,,,,,,,
,MP B3,,,,IP BJ,,,,,,,
,IP B,,,,IP BX,,,,,,,
,IP B5,,,,IP A2,,,,,,,
,IP B3,,,,IP AX,,,,,,,
,IP B2,,,,IP AL,,,,,,,
,IP BZ,,,,EP A2,,,,,,,
,IP BJ,,,,EP AL,,,,,,,
,IP BX,,,,,,,,,,,
,IP A,,,,,,,,,,,
,IP A2,,,,,,,,,,,
,IP AX,,,,,,,,,,,
,IP AL,,,,,,,,,,,
,EP A,,,,,,,,,,,
,EP A2,,,,,,,,,,,
Highest,EP AL,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
